HighSchool	AICode	NumberOfTestTakers	SATCriticalReadingMean	SATMathMean	SATWritingMean	SATIINumberOfTestTakers SATIITotalTestsTaken	APNumberOfTestTakers APTotalTestsTaken APNumberOfHighScores	PSATSophomoreNumberOfTestTakers	PSATSophomoreCriticalReadingMean	PSATSophomoreMathMean	PSATSophomoreWritingSkillsMean	PSATJuniorNumberOfTestTakers PSATJuniorCriticalReadingMean	PSATJuniorMathMean	PSATJuniorWritingSkillsMean
Henderson B High School	480422	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Henry Foss High School	481383	113	481	468	460	9	21	17	17	7	46	42.6	44.3	40.3	51	46.1	47.8	45.8
Henry M. Jackson High School	480711	280	529	547	522	33	74	246	347	230	93	49.9	50.3	49.1	163	51.3	52.4	50.7
Heritage High School	481492	127	478	490	463	5	9	326	475	152	55	41.9	42.8	41.0	99	45.8	47.3	43.1
High School Options	480088	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0
Highland High School	480265	27	468	507	436	0	0	1	4	0	0	0	0	0	24	45.7	47.7	41.7
Highline High School	481090	134	453	451	442	3	8	92	133	39	2	0	0	0	197	41.7	43.5	40.1
Hockinson High School	480118	89	527	534	498	8	17	73	123	80	44	48.7	49.5	44.9	46	51.8	53.0	49.3
Home Link High School Diploma Program	480127	2	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0
HomeConnection (Oak Harbor)	480808	0	0	0	0	0	0	0	0	0	8	46.6	50.0	47.4	8	50.1	53.3	46.9
Homeschool Resource Center	481103	5	620	600	606	3	8	0	0	0	1	0	0	0	0	0	0	0
Hoquiam High School	480475	44	485	467	475	0	0	61	90	15	21	45.1	45.6	42.6	39	46.4	46.7	44.7
Hudson's Bay High School	481475	47	529	509	495	1	2	60	98	26	101	40.8	40.4	38.5	46	47.7	47.0	44.7
Ilwaco High School	480485	22	481	492	472	0	0	31	43	18	21	48.6	49.2	43.8	23	49.0	51.9	47.3
Inchelium School	480490	0	0	0	0	0	0	10	10	0	10	40.8	41.7	41.2	7	32.4	35.1	33.9
Inglemoor High School	480101	344	565	594	558	74	188	238	331	167	6	58.7	65.7	59.2	375	54.6	56.7	51.5
Ingraham High School	481112	104	508	524	491	14	37	2	2	0	155	44.3	44.6	42.0	153	44.9	46.1	43.3
Insight School of Washington	480129	30	552	507	529	2	6	0	0	0	3	0	0	0	13	59.2	48.7	53.8
Interagency Academy	481089	0	0	0	0	0	0	0	0	0	29	32.4	31.6	30.7	19	30.8	32.4	33.1
Interlake High School	480069	181	583	594	563	66	190	597	1198	909	56	54.4	56.9	53.6	310	53.4	53.4	50.4
International Community School	480552	50	662	663	682	26	71	102	269	238	36	56.6	60.0	57.9	47	64.8	64.3	61.6
International School	480068	59	630	647	616	25	70	194	458	334	34	56.7	58.0	56.0	68	61.5	62.1	57.7
Internet Academy	480402	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Issaquah High School	480500	348	574	592	567	76	198	353	617	502	330	49.3	50.7	46.5	379	53.1	53.3	50.3
Jenkins High School	480190	40	519	504	490	0	0	36	60	24	2	0	0	0	34	47.5	45.8	45.3
Joel E. Ferris High School	481258	158	529	536	508	5	12	251	466	282	85	50.9	49.0	48.3	186	49.2	48.4	46.8
John R. Rogers High School	481260	90	461	469	431	1	3	207	327	104	23	43.7	43.3	42.8	142	42.3	42.9	40.0
Juanita High School	480543	186	549	569	533	28	74	122	181	134	140	51.8	52.9	49.8	141	55.0	56.9	52.5
Kahlotus High School	480510	3	0	0	0	1	3	1	1	0	2	0	0	0	6	43.7	44.7	42.2
Kalama Senior High School	480515	26	470	494	470	0	0	18	22	10	20	44.1	42.8	42.8	17	45.8	45.2	41.7
Kamiak High School	480758	297	558	587	552	62	153	455	793	596	73	53.6	57.5	52.2	278	52.3	55.0	50.6
Kamiakin High School	480524	171	540	569	521	12	35	251	472	344	392	41.7	44.5	40.8	319	44.0	46.8	42.1
Kaplan Academy of Washington	481331	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Kelso High School	480520	103	504	501	495	3	7	73	92	62	18	54.3	51.2	51.3	48	48.1	48.0	44.5
Kennewick High School	480525	93	454	490	442	3	11	2	2	0	32	48.1	49.6	46.6	85	48.5	50.9	45.8
Kent Mountain View Academy	480309	5	556	562	548	0	0	0	0	0	0	0	0	0	1	0	0	0
Kent Phoenix Academy	480528	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Kentlake High School	480549	155	532	548	510	12	28	114	196	154	31	53.3	55.0	48.9	71	50.1	52.7	48.4
Kent0Meridian High School	480535	114	468	493	450	6	13	34	35	18	51	48.0	49.6	44.5	93	49.2	51.6	45.8
Kentridge Senior High School	480536	305	535	569	524	34	81	274	434	341	34	45.6	48.1	42.2	227	49.7	54.4	47.6
Kentwood Senior High School	480539	256	522	539	501	19	52	317	544	374	84	47.2	50.3	45.3	129	51.7	55.3	49.5
Kettle Falls High School	480540	23	464	495	471	0	0	0	0	0	30	40.8	42.7	38.9	2	0	0	0
Kingston High School	480554	82	542	525	529	10	24	145	241	114	23	54.1	48.9	48.8	69	53.1	53.2	48.8
Kiona0Benton High School	480085	16	505	497	484	0	0	21	26	6	98	38.0	42.7	35.5	27	41.4	45.8	40.6
Kittitas High School	480550	21	493	500	462	0	0	0	0	0	36	42.3	44.8	41.6	1	0	0	0
Klahowya Secondary School	481196	58	531	537	512	2	5	128	215	101	13	52.3	49.8	47.3	73	49.0	49.7	46.3
Klickitat High School	480560	5	480	494	432	0	0	2	4	0	4	0	0	0	8	37.0	46.8	37.6
La Center High School	480565	40	516	517	494	1	2	25	35	27	17	50.4	49.3	46.4	35	50.5	49.0	45.9
La Conner High School	480575	29	513	536	521	3	7	4	4	0	21	47.5	47.9	44.5	25	50.4	50.7	46.8
La Crosse High School	480580	4	0	0	0	0	0	8	8	0	2	0	0	0	3	0	0	0
Lake Quinault High School	480022	5	486	472	464	0	0	0	0	0	2	0	0	0	2	0	0	0
Lake Roosevelt High School	480255	28	455	455	449	0	0	0	0	0	0	0	0	0	15	41.1	38.7	41.8
Lake Stevens High School	480585	171	532	531	523	27	64	260	367	240	19	49.9	53.2	48.3	118	50.3	51.5	48.4
Lake Washington High School	480545	209	550	558	544	39	89	140	228	173	54	50.8	51.1	48.4	119	55.1	54.8	52.9
Lakes High School	480588	138	501	496	475	9	24	173	287	117	322	39.4	40.1	37.3	41	52.0	51.5	48.3
Lakeside High School	480798	75	499	494	470	3	6	43	49	21	35	46.5	46.2	44.5	75	47.3	48.9	45.3
Lakewood High School	480586	68	525	551	502	1	3	0	0	0	20	49.5	52.5	48.2	39	50.5	51.9	49.6
Legacy High School	481491	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Lewis and Clark High School	481265	247	550	536	529	30	81	353	686	510	97	53.4	52.3	52.0	240	52.1	51.0	50.2
Lewis and Clark High School	481478	6	452	473	448	0	0	0	0	0	0	0	0	0	0	0	0	0
Liberty Bell High School	481445	24	543	536	510	3	6	25	26	18	21	46.2	47.2	44.2	25	48.6	50.6	47.8
