ZipCode,City,State,MedianIncome,MedianIncomeRank,CostOfLivingIndex,CostOfLivingRank,MedianMortgageToIncomeRatio,MedianMortgageToIncomeRank,OwnerOccupiedHomesPercent,OwnerOccupiedHomesRank,MedianRoomsInHome,MedianRoomsInHomeRank,CollegeDegreePercent,CollegeDegreeRank,ProfessionalPercent,ProfessionalRank,Population,PopulationRank,AverageHouseholdSize,AverageHouseholdSizeRank,MedianAge,MedianAgeRank,MaleToFemaleRatio,MaleToFemaleRank,MarriedPercent,MarriedRank,DivorcedPercent,DivorcedRank,WhitePercent,WhiteRank,BlackPercent,BlackRank,AsianPercent,AsianRank,HispanicEthnicityPercent,HispanicEthnicityRank
98848,Quincy,WA,34571,35,111.2,58,23.6,81,65.5,21,4.9,13,12.9,36,24,31,9796,56,3.1,92,29.8,6,110.8,95,64.3,69,5.9,8,48.1,12,0,0,0.6,54,49.6,96
98356,Morton,WA,34756,36,108.7,56,21.9,61,71.8,33,5.3,36,11.4,28,22.1,21,2162,13,2.4,18,43.5,93,89.5,35,62.9,60,10.5,66,94.2,64,0,3,1,65,0.8,27
98947,Tieton,WA,34866,36,116.6,61,23.8,82,67.1,23,5.2,27,10.5,24,18.1,7,2818,22,3.2,94,29.4,5,101.5,86,66.2,80,7.1,18,54.4,14,0,0,0.8,60,43.1,95
98648,Stevenson,WA,35256,37,155.6,77,22.8,72,68.4,25,5.7,62,16.8,53,31.2,63,2780,21,2.5,34,40.5,82,94.4,62,60.7,46,11.7,80,91.1,54,0.1,17,0.5,50,1.4,41
98648,Stevenson,WA,35256,37,155.6,77,22.8,72,68.4,25,5.7,62,16.8,53,31.2,63,2780,21,2.5,34,40.5,82,94.4,62,60.7,46,11.7,80,91.1,54,0.1,17,0.5,50,1.4,41
98930,Grandview,WA,35000,37,95.9,46,22.7,72,71.1,32,5.3,35,13,37,27.5,48,12863,62,3.3,95,28,3,97.6,75,63,61,5.5,5,40.4,9,0,0,1,65,57,97
98295,Sumas,WA,35414,38,106,54,23.7,81,71.7,33,4.8,11,16.6,53,24.6,34,4962,38,2.9,84,30.2,7,101.3,86,62.2,56,11.7,81,88.4,48,0.1,17,1.1,67,5,70
98541,Elma,WA,35423,38,110.1,57,22.3,67,73.1,37,5.1,22,9.5,18,22.8,24,9219,54,2.6,55,36.4,42,101.8,87,58.2,34,15,97,90.7,53,0.1,17,0.3,39,3.9,65
98822,Entiat,WA,35398,38,141,71,24.2,85,69.9,28,5.1,22,13.8,41,25.5,38,1883,9,2.8,74,35.6,34,99.3,81,68.4,89,11,73,75.3,29,0,1,1.1,67,20,89
98857,Warden,WA,35417,38,92.2,43,21.6,58,67.3,24,5,17,8.7,14,23.1,26,3719,30,3.2,94,27.7,3,102.8,89,66.6,82,6.9,16,43,10,0,0,0.6,54,55.2,97
