ZipCode,Under10K,10K-15K,Mgt/Professional,15K-25K,Service,25K-35K,Sales/Office,35K-50K,Farm/Fishing/Forestry,50K-75K,Construction/Extraction/Maint.,75K-100K,Production/Transportation,100K-150K,150K-200K,Unemployed,200K+,InPoverty,MedianIncome
98168,7.10,4.80,23.40,13.90,18.60,13.90,26.80,21,0.40,20.40,12.20,11.60,18.50,5.90,0.90,3.80,0.50,11.70,41097
98177,3.40,2.70,52.70,7.30,10.10,10.30,24.70,12.40,0.30,21.90,4.90,14.50,7.30,15.40,5.60,2.60,6.50,4.20,65514
98177,3.40,2.70,52.70,7.30,10.10,10.30,24.70,12.40,0.30,21.90,4.90,14.50,7.30,15.40,5.60,2.60,6.50,4.20,65514
98178,5.90,3.40,32.40,11.30,15.60,12.50,26.70,19.50,0.30,22.90,9.80,13,15.10,8.90,1.50,3.70,1.10,6.60,47461
98188,6.20,6.30,25.60,13.70,15.20,15.90,29.50,18.80,0.30,21.30,10.90,9.30,18.50,6.10,0.90,3.60,1.50,11.30,40618
98188,6.20,6.30,25.60,13.70,15.20,15.90,29.50,18.80,0.30,21.30,10.90,9.30,18.50,6.10,0.90,3.60,1.50,11.30,40618
98198,6.20,3.90,29.40,10.80,16,13.90,30.10,18.60,0.20,23.70,9.40,13.20,14.90,6.40,1.70,3.70,1.70,8.90,46628
98198,6.20,3.90,29.40,10.80,16,13.90,30.10,18.60,0.20,23.70,9.40,13.20,14.90,6.40,1.70,3.70,1.70,8.90,46628
98199,4.10,3.70,56.20,6.30,10.20,10.70,22.70,16.40,0.50,19.70,3.40,15.20,7,13.20,5.20,2.90,5.60,5.10,59542
98201,12.60,8.30,24.60,15.20,19.30,16.30,23.90,16.50,0.60,18.40,14.70,6.60,16.90,3.90,0.90,5.50,1.30,17.90,33158
98203,4.80,4,32,10.70,13.30,11.70,27,17.60,0.20,24.30,11.90,14.80,15.60,8.70,2,4.50,1.50,7.50,50899
98203,4.80,4,32,10.70,13.30,11.70,27,17.60,0.20,24.30,11.90,14.80,15.60,8.70,2,4.50,1.50,7.50,50899
98204,8.70,5.60,22.10,15.60,17.90,16.10,25.80,21,0.50,21.70,15.50,7.60,18.30,2.80,0.30,5.10,0.60,12.90,36944
98204,8.70,5.60,22.10,15.60,17.90,16.10,25.80,21,0.50,21.70,15.50,7.60,18.30,2.80,0.30,5.10,0.60,12.90,36944
98208,3.60,3.90,35.10,7.10,11.70,11.30,28.40,17.90,0.20,24,11,16.90,13.60,11.40,2.20,3.20,1.60,6.30,55952
98220,9.80,0,24,21.80,1.80,14.10,12.60,22.60,12,15,18.60,10.70,30.90,2.60,3.40,4.30,0,9.60,40833
98221,6.40,5.50,34.10,10.50,15.80,16.10,23.40,19.90,1.80,19,12.90,11.30,12,7.20,2.10,2.60,2,7.40,42996
98223,5.60,3.40,27.10,8.50,13.40,10,22.60,19.50,1.10,29,16.10,14.20,19.80,7.30,1.20,3.30,1.20,6.50,51736
98225,16.90,10,31.90,17.20,19.90,13.40,27.80,15.70,0.70,14.60,8,5.20,11.70,4.40,1.30,7.80,1.40,24.60,29056
98226,7.10,5.40,36.10,13.10,14.10,12.70,27,18.30,1.20,21.50,9.20,10.70,12.40,7.70,2.10,4,1.40,11.40,44100
98226,7.10,5.40,36.10,13.10,14.10,12.70,27,18.30,1.20,21.50,9.20,10.70,12.40,7.70,2.10,4,1.40,11.40,44100
98230,8.30,5.60,26.90,13.30,17.20,12.20,28.70,23.10,3.10,19.50,9.30,9.40,14.80,5,0.90,4.70,2.70,11.30,40827
98232,3.30,3.80,39.70,7.80,13,10.30,25,18.80,5.20,24.30,8.70,12.60,8.50,11.30,4.30,1.70,3.50,5.20,55019
98232,3.30,3.80,39.70,7.80,13,10.30,25,18.80,5.20,24.30,8.70,12.60,8.50,11.30,4.30,1.70,3.50,5.20,55019
98233,5.20,7.40,27.10,12.60,14.90,12,24.60,19.60,2.70,24.40,11.30,12,19.50,5.10,0.30,4,1.50,10.10,44454
98235,15,35,0,27.50,21.90,0,53.10,0,0,22.50,0,0,25,0,0,0,0,27.10,16250
98237,9.90,13,18.10,15.10,23.10,12.40,20.80,22.90,7.10,15.40,14.10,6.40,16.90,3.80,0.80,6.50,0.20,14.10,34038
98239,5.90,5.60,38.60,12,18.70,12.70,20.50,18.70,1.90,25.20,11.10,10.10,9.20,7.20,1.70,3.30,0.80,5.30,46235
98240,3,4.90,26.90,10.40,20.10,11.50,19.60,23.60,2.30,24.80,11.10,8.70,20.10,9.30,0.80,4.30,3.10,6.30,46583
98241,10.90,7.60,23.40,15.30,13.20,15.90,19.40,11.60,5.40,27.40,13.60,5.90,24.90,3.80,1.40,3.70,0.20,10.50,35568
98244,9.40,8,23.70,8,16.30,11.70,22.10,11.50,3.90,31.50,19.60,12.20,14.40,2.60,2.70,5.10,2.50,10.60,50833
98245,10.60,5.60,29.30,14.50,17.50,11.60,25.40,15.30,0.40,18.90,19.40,8.40,8,5.50,3.50,2.30,6.20,10.70,42633
98247,7.30,4.60,21.60,11.20,15.40,18,22.70,18,6.70,25.70,17.20,9.10,16.40,5,0.80,2.70,0.40,11.90,42191
98248,6.80,4.60,26,12.30,16.80,14.50,25.50,17.20,2.50,24.90,12.60,11.90,16.70,6,0.70,3.70,1.20,10.10,45050
98250,7.30,6.40,30.10,10.30,16.30,12.30,24.90,21.90,2.30,19.60,15.50,8.30,11,7.60,2,1.70,4.30,7.20,45000
98251,3.20,5.50,21.40,10.70,18.30,11.30,24.90,23,0.70,25.50,16.20,12.70,18.50,6.20,1.60,4,0.30,6.20,47563
98252,4.80,3.50,22.90,9.10,13,9.60,26.30,21.20,0.90,28.40,18.40,14.10,18.50,7.30,1.60,4.20,0.50,6.40,50870
98256,14.30,5.70,35,16.20,20.40,11.30,14.20,17,5.10,20,16.10,2.60,9.10,10.20,0,5.20,2.60,16,36161
98257,7.60,6.50,35.10,10.60,18.50,9.70,25.80,20.20,1.20,20,9.40,10.90,10,9.80,2,3.20,2.60,11.80,45870
98258,4.10,3.10,29.80,7,13.30,6.90,26.10,15.90,0.40,28.40,16.60,18.10,13.80,12.70,1.90,3.50,1.90,5.20,61066
98260,7.10,5.70,39.60,11.50,15.90,10.90,23.80,20.50,0.70,20.10,10.10,9.60,9.90,9,3.20,1.70,2.50,6.40,45469
98261,5.50,5.60,42.70,14.20,18.30,16.30,16.20,22.90,0.60,16.30,13.70,9.90,8.50,5.10,3.40,2.40,0.90,10.20,38594
98262,6.30,11.80,50.50,11,10.90,5.20,16.50,28.40,2.90,14.30,10,8.30,9.30,6.10,3,1.60,5.50,11.60,42279
98264,5,6,28.90,11.60,15.80,13.70,25.20,19.60,4.40,24.10,10.60,11.60,15.10,3.90,2.10,2.50,2.60,7.30,44531
98270,4.70,3.80,28.80,9.50,17,12.50,24.90,17.80,0.50,25.10,13.10,15.40,15.60,9.30,1,3.40,0.80,4.80,51126
98271,5,3.60,26.30,8.70,15.50,10.20,24.30,16.40,0.90,30.10,16,15.40,17,8.10,1.40,4.70,1,7.80,54160
98272,5.30,3.80,32,6.50,13.50,9.60,27.20,17.20,1,26,13,17.10,13.20,10.30,2.20,3.20,2,7,55987
98273,9,6.10,26.80,15.30,14.20,13.80,25.50,18.10,7.30,20.80,9.30,8,16.90,5.20,1.50,5.20,2.20,14.60,40304
98273,9,6.10,26.80,15.30,14.20,13.80,25.50,18.10,7.30,20.80,9.30,8,16.90,5.20,1.50,5.20,2.20,14.60,40304
98274,4.80,5.80,32,10.40,16.10,14.10,26.50,18.10,2.40,22.60,9.30,13.50,13.80,7,1.80,4.10,1.90,9.90,47136
