ZipCode,Latitude,Longitude,Population,PeoplePerSquareMile,HousingUnits,LandAreaInSqMi,WaterAreaInSqMi
98550,47.026913,-123.917324,11733,51.87,5093,226.22,0.2
98557,47.054419,-123.273906,2776,94.45,1133,29.39,0.03
98563,47.034615,-123.603323,7380,35.24,3077,209.43,0.17
98564,46.50494,-122.486681,2240,34.05,998,65.78,0.33
98565,46.580105,-122.906996,499,1022.87,193,0.49,0
98568,46.84066,-123.256491,2347,21.9,885,107.17,0.17
98569,46.983877,-124.156076,4230,249.13,3570,16.98,0.53
98570,46.593526,-122.653469,3576,46.63,1457,76.69,0.03
98571,47.216861,-124.197401,478,221.79,317,2.16,0
98572,46.569107,-123.305785,865,34.33,376,25.19,0
98576,46.871178,-122.675736,3303,107.64,1304,30.69,0.02
98577,46.668744,-123.677082,6457,23.32,2897,276.86,0
98579,46.814438,-123.086471,9793,109.55,3664,89.39,0.01
98580,46.954282,-122.487543,9250,158.44,3361,58.38,0.29
98584,47.224044,-123.105384,31214,106.35,13371,293.49,2.74
98586,46.560786,-123.852143,2257,21.93,1093,102.91,0.01
98587,47.32251,-124.258144,900,53.51,281,16.82,0
98589,46.857968,-122.832609,6496,73.4,2564,88.5,0.51
98591,46.433226,-122.800836,2997,38.79,1205,77.27,0
98595,46.887187,-124.107356,2811,528.59,1884,5.32,0
98596,46.493247,-122.922624,6567,56.99,2546,115.23,0
98597,46.893352,-122.567197,14356,139.39,5797,102.99,2.84
98601,45.935656,-122.437267,2327,60.21,803,38.65,0.04
98603,46.001752,-122.456244,732,15.61,362,46.9,0.02
98604,45.791345,-122.517898,24572,303.8,8315,80.88,0.06
98605,45.719294,-121.478387,1186,35.44,537,33.47,0.02
98606,45.73451,-122.48034,8395,214.57,2785,39.13,0
98607,45.60916,-122.40547,18115,459.06,6745,39.46,0.5
98610,45.801513,-121.911477,2747,26.66,1173,103.03,0.01
98611,46.308371,-122.898702,8317,83.88,3304,99.15,0
98612,46.208318,-123.346244,2551,38.46,1202,66.32,0
98613,45.722786,-120.961634,489,4.49,208,108.8,0
98617,45.632051,-121.16835,956,177.83,408,5.38,0
98619,46.018228,-121.289041,522,11.98,244,43.57,0.02
