ZipCode,Education-LessThan9thGrade,NeverMarried,Education-HighSchoolDropout,Married,Education-HighSchoolGrad,Separated,Education-SomeCollege,Widowed,Education-AssociatesDegree,Divorced,Education-BachelorsDegree,Education-Graduate/Professional,LivedInSameHomeForOver5Years,Education-HighSchoolOrHigher,Education-BachelorsOrHigher
98250,1,17.40,6,58.60,21.70,1.30,29.10,7.20,5.90,15.60,22.60,13.60,50.10,92.90,36.20
98251,3.20,19.80,14.10,60.40,34.10,2.30,28.70,4.30,8.30,13.20,9.70,2,48.80,82.80,11.70
98252,2.90,20.80,12.80,59.70,35.30,1.70,26.50,4.80,8.60,13,9.80,4,48.60,84.30,13.80
98256,2.20,25.10,10.20,49.70,28.80,0.90,35.60,4.70,3.60,19.60,13.80,5.80,44.40,87.70,19.60
98257,1.40,18.40,9.20,63.40,20.30,1,32,7.60,6.50,9.70,19.60,11.10,60.30,89.40,30.60
98258,2.20,22.80,8.30,61.80,31.30,1.30,31.10,3.40,8.50,10.80,14,4.70,51.80,89.50,18.70
98260,1.30,19.10,5.70,59.90,19.60,0.70,31.60,5.30,7.60,15,21.90,12.30,58.70,93,34.30
98261,0,17.20,4.50,66.40,16.40,0.20,25.60,6.60,6.10,9.60,29.10,18.30,48.30,95.50,47.40
98262,0,20.50,3.30,54.90,16.60,0.90,21.80,4.10,13.80,19.60,23,21.50,60.70,96.70,44.50
98264,6.90,21.10,10.20,65.30,33.30,1,23.60,7.40,4.60,5.30,14.30,7.10,53.40,82.80,21.30
98270,2.70,21.50,8.80,60.40,28.30,1.90,32,5.70,9.60,10.40,13.50,5.10,42.10,88.50,18.60
98271,2.70,21.40,9.90,62.10,29.30,1.60,34.60,4,9.50,10.90,9.60,4.40,53.30,87.40,13.90
98272,3.80,20.90,8.70,64,29.80,1.70,30.30,4,7.60,9.30,14.80,5.20,44,87.60,19.90
98273,11,25.30,10.20,55.80,22.90,3.10,26.70,5.70,8.70,10.20,13.80,6.70,44.40,78.80,20.50
98273,11,25.30,10.20,55.80,22.90,3.10,26.70,5.70,8.70,10.20,13.80,6.70,44.40,78.80,20.50
98274,4.50,22.20,9.60,59.70,24.40,1.30,29.60,6.10,9.80,10.70,13.80,8.30,48.70,85.90,22.10
98275,0.70,22.50,3,63.60,16.50,1.10,28.20,2.90,9.30,9.90,29.40,13,44.40,96.30,42.40
98277,1.90,21.20,6.40,63.60,26.60,1.90,32.60,4.90,9.70,8.40,16.70,6.10,38.60,91.70,22.80
98280,0,10,5.90,60.90,14.70,4.10,30.60,9.10,8.80,15.90,23.10,16.90,72.60,94.10,40.10
98284,4.40,22.70,13.40,56.20,33.70,1.80,26.80,6.30,8.60,13,9.50,3.50,48.60,82.20,13
98286,0,22.60,3.40,55.40,6.20,5.10,22.50,11.80,3.40,5.10,26.40,38.20,54.20,96.60,64.60
98288,1.50,20.70,14.60,60.70,44.30,1.60,18.40,3.40,6.10,13.60,11.70,3.50,62.60,84,15.20
98290,2.60,22.70,8.40,60.20,29.80,1.10,28.20,4.10,8.90,11.80,15.40,6.80,54.30,89.10,22.10
98292,1.50,18,7.60,66.10,26.50,0.80,32.50,5.20,10.30,9.80,15.60,6.10,51,90.90,21.70
98294,3.10,19.90,11.50,57.80,37.20,1.60,28.40,6.50,7.90,14.30,10,1.90,48.30,85.40,11.90
98295,7.10,21.70,12.30,60.30,32,1.90,26.10,4.30,5.90,11.80,11.30,5.30,42.60,80.60,16.60
98296,0.80,20.40,5.40,68.40,22.40,0.50,28.50,2.60,10,8.20,24.50,8.40,56.30,93.80,32.90
98297,0,21,9.10,62,14.80,0,8,0,0,17,22.70,45.50,93.20,90.90,68.20
98303,4.20,20.60,16.50,55.50,28,1,28.80,6.40,8.20,16.40,10.40,3.90,37.30,79.30,14.30
98304,2.60,24,11.50,60.20,34,1.80,21.80,1.20,4.90,12.70,11.70,13.40,53.30,85.80,25.10
98310,3.10,23.10,8.80,50.70,28.80,2.70,31.80,9.50,10.10,14,12.90,4.60,46.80,88.10,17.40
98311,2.20,22.80,6.10,61.70,24.80,1.80,32.50,4.80,11.50,8.90,16.90,5.90,50.90,91.70,22.80
98311,2.20,22.80,6.10,61.70,24.80,1.80,32.50,4.80,11.50,8.90,16.90,5.90,50.90,91.70,22.80
98312,3.20,24.10,8.50,55.20,29.10,2.30,32.60,5.70,9.10,12.70,11.90,5.60,43.60,88.30,17.50
98312,3.20,24.10,8.50,55.20,29.10,2.30,32.60,5.70,9.10,12.70,11.90,5.60,43.60,88.30,17.50
98320,2.50,12.90,16.60,61.90,33.30,1.30,25.10,7.90,5.50,16,12.70,4.40,63.40,81,17.10
98321,4.20,23.10,10.20,60.20,36.40,0.90,30.20,4.10,6,11.80,9.80,3.10,51,85.50,13
