Model,Year, Mileage , Price , CompPrice ,Location, AgeScore , MileageScore , AgeScoreNorm , MileageScoreNorm , CombinedScore ,PriceToScore,VIN,ID,Notes,URL,Ignore?
Accord,1993,107126,3995,2603.831731,Lynnwood, 61.70 , 111.64 , 0.61 , 0.33 , 0.38 , 1.53 ,1HGCB7557PA025780,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=335898545&listingIndex=1&Log=0,Y
Corolla,2000,121559,3200,2599.443178,West Seattle, 32.42 , 136.67 , 0.32 , 0.40 , 0.38 , 1.23 ,1NXBR12E4YZ415836,B,Test drive. Minor electrical gremlins. Great price. ,http://seattle.craigslist.org/see/cto/3493741523.html,
Camry,1999,120191,4995,2586.866512,Edmonds, 36.27 , 134.21 , 0.36 , 0.39 , 0.39 , 1.93 ,4T1BG22K0XU435999,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&showcaseListingId=335752400&mmt=%5BTOYOTA%5BCAMRY%5B%5D%5D%5B%5D%5D&modelCode1=CAMRY&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&numRecords=50&searchRadius=75&listingId=327194131&listingIndex=12&Log=0,Y
Elantra,1999,120456,4900,2579.454169,Tacoma, 36.27 , 134.69 , 0.36 , 0.39 , 0.39 , 1.90 ,KMHJF35F5XU780190,FF,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=331652041&listingIndex=11&Log=0,
Corolla,2001,124000,3600,2579.417511,Burien, 28.70 , 141.08 , 0.28 , 0.41 , 0.39 , 1.40 ,,J,,http://seattle.craigslist.org/see/cto/3505614941.html,
Camry,2001,125624,4498,2533.934043,Tacoma, 28.70 , 144.05 , 0.28 , 0.42 , 0.39 , 1.78 ,,,,http://seattle.craigslist.org/tac/cto/3479465218.html,Y
Accord,1992,108000,2500,2521.564718,Tacoma, 66.29 , 113.10 , 0.66 , 0.33 , 0.40 , 0.99 ,,,,http://seattle.craigslist.org/tac/cto/3505137810.html,Y
Camry,1990,106000,2950,2453.861918,Marysville, 75.75 , 109.77 , 0.75 , 0.32 , 0.41 , 1.20 ,,,,http://seattle.craigslist.org/see/cto/3507434104.html,Y
Corolla,2000,126963,4950,2452.229871,Auburn, 32.42 , 146.52 , 0.32 , 0.43 , 0.41 , 2.02 ,1NXBR12E1YZ329108,LL,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BTOYOTA%5BCOROL%5B%5D%5D%5B%5D%5D&modelCode1=COROL&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&searchRadius=75&minPrice=4000&listingId=336952117&listingIndex=1&Log=0,
Elantra,2007,140000,3500,2377.849955,Tacoma, 9.52 , 171.32 , 0.09 , 0.50 , 0.42 , 1.47 ,,N,Manual,http://seattle.craigslist.org/see/cto/3500657142.html,Y
